Date;Well1
2007-07-09;-3.46916666666667
2007-07-10;-3.30166666666667
2007-07-11;-3.1725
2007-07-12;-3.09125
2007-07-13;-3.03291666666667
2007-07-14;-2.91541666666667
2007-07-15;-2.84708333333333
2007-07-16;-2.69958333333333
2007-07-17;-2.54
2007-07-18;-2.54541666666667
2007-07-19;-2.58083333333333
2007-07-20;-2.57916666666667
2007-07-21;-2.565
2007-07-22;-2.56375
2007-07-23;-2.58625
2007-07-24;-2.60791666666667
2007-07-25;-2.62791666666667
2007-07-26;-2.66791666666667
2007-07-27;-2.7
2007-07-28;-2.73291666666667
2007-07-29;-2.7775
2007-07-30;-2.83208333333333
2007-07-31;-2.87833333333333
2007-08-01;-2.89583333333333
2007-08-02;-2.88166666666667
2007-08-03;-2.89708333333333
2007-08-04;-2.96333333333333
2007-08-05;-2.97041666666667
2007-08-06;-2.52041666666667
2007-08-07;-2.29958333333333
2007-08-08;-2.13875
2007-08-09;-2.14333333333333
2007-08-10;-2.00666666666667
2007-08-11;-2.06208333333333
2007-08-12;-2.14291666666667
2007-08-13;-2.19833333333333
2007-08-14;-2.2425
2007-08-15;-2.28125
2007-08-16;-2.31875
2007-08-17;-2.35625
2007-08-18;-2.40041666666667
2007-08-19;-2.45125
2007-08-20;-2.49833333333333
2007-08-21;-2.51458333333333
2007-08-22;-2.12333333333333
2007-08-23;-2.14833333333333
2007-08-24;-2.16166666666667
2007-08-25;-2.17625
2007-08-26;-2.15791666666667
2007-08-27;-2.16958333333333
2007-08-28;-2.19833333333333
2007-08-29;-2.21166666666667
2007-08-30;-2.23375
2007-08-31;-2.26583333333333
2007-09-01;-2.29375
2007-09-02;-2.31625
2007-09-03;-2.11708333333333
2007-09-04;-2.07
2007-09-05;-2.08416666666667
2007-09-06;-2.08583333333333
2007-09-07;-2.10708333333333
2007-09-08;-2.14083333333333
2007-09-09;-2.17583333333333
2007-09-10;-2.20791666666667
2007-09-11;-2.24458333333333
2007-09-12;-2.28708333333333
2007-09-13;-2.34333333333333
2007-09-14;-2.36375
2007-09-15;-2.21208333333333
2007-09-16;-2.06666666666667
2007-09-17;-2.08375
2007-09-18;-2.09958333333333
2007-09-19;-2.13458333333333
2007-09-20;-2.16583333333333
2007-09-21;-2.2025
2007-09-22;-2.24083333333333
2007-09-23;-2.29416666666667
2007-09-24;-2.28458333333333
2007-09-25;-2.24333333333333
2007-09-26;-2.12625
2007-09-27;-1.9875
2007-09-28;-1.96708333333333
2007-09-29;-1.9875
2007-09-30;-2.02
2007-10-01;-2.0475
2007-10-02;-2.09
2007-10-03;-2.14583333333333
2007-10-04;-2.2075
2007-10-05;-2.26416666666667
2007-10-06;-2.3225
2007-10-07;-2.38625
2007-10-08;-2.44791666666667
2007-10-09;-2.49958333333333
2007-10-10;-2.56083333333333
2007-10-11;-2.59583333333333
2007-10-12;-2.65291666666667
2007-10-13;-2.71791666666667
2007-10-14;-2.78166666666667
2007-10-15;-2.84041666666667
2007-10-16;-2.88416666666667
2007-10-17;-2.91708333333333
2007-10-18;-2.94416666666667
2007-10-19;-2.90666666666667
2007-10-20;-2.49833333333333
2007-10-21;-2.23208333333333
2007-10-22;-1.98916666666667
2007-10-23;-1.82708333333333
2007-10-24;-1.86208333333333
2007-10-25;-1.87375
2007-10-26;-1.90833333333333
2007-10-27;-1.79708333333333
2007-10-28;-1.72260869565217
2007-10-29;-1.805
2007-10-30;-1.85625
2007-10-31;-1.89333333333333
2007-11-01;-1.91083333333333
2007-11-02;-1.90958333333333
2007-11-03;-1.92333333333333
2007-11-04;-1.94125
2007-11-05;-1.96666666666667
2007-11-06;-1.96833333333333
2007-11-07;-1.88333333333333
2007-11-08;-1.90458333333333
2007-11-09;-1.94125
2007-11-10;-1.98125
2007-11-11;-2.02875
2007-11-12;-2.07416666666667
2007-11-13;-2.12333333333333
2007-11-14;-2.17708333333333
2007-11-15;-2.24958333333333
2007-11-16;-2.31583333333333
2007-11-17;-2.37708333333333
2007-11-18;-2.4425
2007-11-19;-2.51375
2007-11-20;-2.56041666666667
2007-11-21;-2.62291666666667
2007-11-22;-2.69208333333333
2007-11-23;-2.7525
2007-11-24;-2.81916666666667
2007-11-25;-2.88291666666667
2007-11-26;-2.94291666666667
2007-11-27;-2.995
2007-11-28;-3.03958333333333
2007-11-29;-3.09583333333333
2007-11-30;-3.14958333333333
2007-12-01;-3.20625
2007-12-02;-3.25291666666667
2007-12-03;-3.30916666666667
2007-12-04;-3.37083333333333
2007-12-05;-3.43666666666667
2007-12-06;-3.49583333333333
2007-12-07;-3.55291666666667
2007-12-08;-3.605
2007-12-09;-3.65125
2007-12-10;-3.7025
2007-12-11;-3.75875
