Date;P1;P3;P5;P6;P7;P9;P10;P12;P13
2004-05-03;-4.760833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-05-04;-4.4775;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-05-07;NaN;NaN;-40.07;-38.44;NaN;NaN;NaN;NaN;NaN
2004-05-20;NaN;-28.584;-40.05;-38.43;-4.8;-19.88;NaN;NaN;NaN
2004-06-03;-2.918;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-04;-2.98;-28.5;-40.09;-38.46;-4.03;NaN;NaN;NaN;NaN
2004-06-05;-3.06;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-06;-3.13875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-07;-3.20875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-08;-3.2725;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-09;-3.3241666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-10;-3.3291666666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-11;-2.8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-12;-2.435416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-13;-2.1845833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-14;-2.0925;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-15;-2.0308333333333333;-28.58;-40.12;-38.47;-3.52;-19.65;NaN;NaN;NaN
2004-06-16;-2.007083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-17;-2.006666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-18;-2.0429166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-19;-2.0633333333333335;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-20;-2.109583333333333;NaN;NaN;NaN;-3.38;-19.84;NaN;NaN;NaN
2004-06-21;-2.160416666666667;NaN;NaN;NaN;NaN;-19.84;NaN;NaN;NaN
2004-06-22;-2.21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-23;-2.2783333333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-24;-2.36625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-25;-2.4491666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-26;-2.529166666666667;NaN;NaN;NaN;NaN;-19.5;NaN;NaN;NaN
2004-06-27;-2.5975;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-28;-2.6783333333333332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-06-29;-2.7643478260869565;-28.6;-40.11;NaN;-3.63;NaN;NaN;NaN;NaN
2004-06-30;-2.7975;-28.61;-40.12;-38.49;-3.83;NaN;NaN;NaN;NaN
2004-07-01;-2.8658333333333332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-02;-2.9279166666666665;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-03;-2.9870833333333335;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-04;-3.0429166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-05;-3.11125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-06;-3.18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-07;-3.2408333333333332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-08;-3.2920833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-09;-3.3441666666666667;-28.62;NaN;NaN;-4.09;NaN;NaN;NaN;NaN
2004-07-10;-3.399166666666667;NaN;-40.12;-38.48;NaN;NaN;NaN;NaN;NaN
2004-07-11;-3.4320833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-12;-3.4562500000000003;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-13;-3.48875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-07-14;-3.53125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
